Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
James4:2 あなたがたは、むさぼるが得られない。そこで人殺しをする。熱望するが手に入れることができない。そこで争い戦う。あなたがたは、求めないから得られないのだ。 
James4:3 求めても与えられないのは、快楽のために使おうとして、悪い求め方をするからだ。 
James4:4 不貞のやからよ。世を友とするのは、神への敵対であることを、知らないか。おおよそ世の友となろうと思う者は、自らを神の敵とするのである。 
James4:5 それとも、「神は、わたしたちの内に住まわせた霊を、ねたむほどに愛しておられる」と聖書に書いてあるのは、むなしい言葉だと思うのか。 
James4:6 しかし神は、いや増しに恵みを賜う。であるから、「神は高ぶる者をしりぞけ、へりくだる者に恵みを賜う」とある。 
James4:7 そういうわけだから、神に従いなさい。そして、悪魔に立ちむかいなさい。そうすれば、彼はあなたがたから逃げ去るであろう。 
James4:8 神に近づきなさい。そうすれば、神はあなたがたに近づいて下さるであろう。罪人どもよ、手をきよめよ。二心の者どもよ、心を清くせよ。 
James4:9 苦しめ、悲しめ、泣け。あなたがたの笑いを悲しみに、喜びを憂いに変えよ。 
James4:10 主のみまえにへりくだれ。そうすれば、主は、あなたがたを高くして下さるであろう。 
James4:11 兄弟たちよ。互に悪口を言い合ってはならない。兄弟の悪口を言ったり、自分の兄弟をさばいたりする者は、律法をそしり、律法をさばくやからである。もしあなたが律法をさばくなら、律法の実行者ではなくて、その審判者なのである。 
James4:12 しかし、立法者であり審判者であるかたは、ただひとりであって、救うことも滅ぼすこともできるのである。しかるに、隣り人をさばくあなたは、いったい、何者であるか。 
James4:13 よく聞きなさい。「きょうか、あす、これこれの町へ行き、そこに一か年滞在し、商売をして一もうけしよう」と言う者たちよ。 
James4:14 あなたがたは、あすのこともわからぬ身なのだ。あなたがたのいのちは、どんなものであるか。あなたがたは、しばしの間あらわれて、たちまち消え行く霧にすぎない。 
James4:15 むしろ、あなたがたは「主のみこころであれば、わたしは生きながらえもし、あの事この事もしよう」と言うべきである。 
James4:16 ところが、あなたがたは誇り高ぶっている。このような高慢は、すべて悪である。 
James4:17 人が、なすべき善を知りながら行わなければ、それは彼にとって罪である。 
James5:1 富んでいる人たちよ。よく聞きなさい。あなたがたは、自分の身に降りかかろうとしているわざわいを思って、泣き叫ぶがよい。 
James5:2 あなたがたの富は朽ち果て、着物はむしばまれ、 
James5:3 金銀はさびている。そして、そのさびの毒は、あなたがたの罪を責め、あなたがたの肉を火のように食いつくすであろう。あなたがたは、終りの時にいるのに、なお宝をたくわえている。 
James5:4 見よ、あなたがたが労働者たちに畑の刈入れをさせながら、支払わずにいる賃銀が、叫んでいる。そして、刈入れをした人たちの叫び声が、すでに万軍の主の耳に達している。 
James5:5 あなたがたは、地上でおごり暮し、快楽にふけり、「ほふらるる日」のために、おのが心を肥やしている。 
James5:6 そして、義人を罪に定め、これを殺した。しかも彼は、あなたがたに抵抗しない。 
James5:7 だから、兄弟たちよ。主の来臨の時まで耐え忍びなさい。見よ、農夫は、地の尊い実りを、前の雨と後の雨とがあるまで、耐え忍んで待っている。 
James5:8 あなたがたも、主の来臨が近づいているから、耐え忍びなさい。心を強くしていなさい。 
James5:9 兄弟たちよ。互に不平を言い合ってはならない。さばきを受けるかも知れないから。見よ、さばき主が、すでに戸口に立っておられる。 
James5:10 兄弟たちよ。苦しみを耐え忍ぶことについては、主の御名によって語った預言者たちを模範にするがよい。 
James5:11 忍び抜いた人たちはさいわいであると、わたしたちは思う。あなたがたは、ヨブの忍耐のことを聞いている。また、主が彼になさったことの結末を見て、主がいかに慈愛とあわれみとに富んだかたであるかが、わかるはずである。 
James5:12 さて、わたしの兄弟たちよ。何はともあれ、誓いをしてはならない。天をさしても、地をさしても、あるいは、そのほかのどんな誓いによっても、いっさい誓ってはならない。むしろ、「しかり」を「しかり」とし、「否」を「否」としなさい。そうしないと、あなたがたは、さばきを受けることになる。 
James5:13 あなたがたの中に、苦しんでいる者があるか。その人は、祈るがよい。喜んでいる者があるか。その人は、さんびするがよい。 
James5:14 あなたがたの中に、病んでいる者があるか。その人は、教会の長老たちを招き、主の御名によって、オリブ油を注いで祈ってもらうがよい。 
James5:15 信仰による祈は、病んでいる人を救い、そして、主はその人を立ちあがらせて下さる。かつ、その人が罪を犯していたなら、それもゆるされる。 
James5:16 だから、互に罪を告白し合い、また、いやされるようにお互のために祈りなさい。義人の祈は、大いに力があり、効果のあるものである。 
James5:17 エリヤは、わたしたちと同じ人間であったが、雨が降らないようにと祈をささげたところ、三年六か月のあいだ、地上に雨が降らなかった。 
James5:18 それから、ふたたび祈ったところ、天は雨を降らせ、地はその実をみのらせた。 
James5:19 わたしの兄弟たちよ。あなたがたのうち、真理の道から踏み迷う者があり、だれかが彼を引きもどすなら、 
James5:20 かように罪人を迷いの道から引きもどす人は、そのたましいを死から救い出し、かつ、多くの罪をおおうものであることを、知るべきである。 
1Peter1:1 イエス・キリストの使徒ペテロから、ポント、ガラテヤ、カパドキヤ、アジヤおよびビテニヤに離散し寄留している人たち、 
1Peter1:2 すなわち、イエス・キリストに従い、かつ、その血のそそぎを受けるために、父なる神の予知されたところによって選ばれ、御霊のきよめにあずかっている人たちへ。恵みと平安とが、あなたがたに豊かに加わるように。 
1Peter1:3 ほむべきかな、わたしたちの主イエス・キリストの父なる神。神は、その豊かなあわれみにより、イエス・キリストを死人の中からよみがえらせ、それにより、わたしたちを新たに生れさせて生ける望みをいだかせ、 
1Peter1:4 あなたがたのために天にたくわえてある、朽ちず汚れず、しぼむことのない資産を受け継ぐ者として下さったのである。 
1Peter1:5 あなたがたは、終りの時に啓示さるべき救にあずかるために、信仰により神の御力に守られているのである。 
1Peter1:6 そのことを思って、今しばらくのあいだは、さまざまな試錬で悩まねばならないかも知れないが、あなたがたは大いに喜んでいる。 
1Peter1:7 こうして、あなたがたの信仰はためされて、火で精錬されても朽ちる外はない金よりもはるかに尊いことが明らかにされ、イエス・キリストの現れるとき、さんびと栄光とほまれとに変るであろう。 
1Peter1:8 あなたがたは、イエス・キリストを見たことはないが、彼を愛している。現在、見てはいないけれども、信じて、言葉につくせない、輝きにみちた喜びにあふれている。 
1Peter1:9 それは、信仰の結果なるたましいの救を得ているからである。 
1Peter1:10 この救については、あなたがたに対する恵みのことを預言した預言者たちも、たずね求め、かつ、つぶさに調べた。 
1Peter1:11 彼らは、自分たちのうちにいますキリストの霊が、キリストの苦難とそれに続く栄光とを、あらかじめあかしした時、それは、いつの時、どんな場合をさしたのかを、調べたのである。 
1Peter1:12 そして、それらについて調べたのは、自分たちのためではなくて、あなたがたのための奉仕であることを示された。それらの事は、天からつかわされた聖霊に感じて福音をあなたがたに宣べ伝えた人々によって、今や、あなたがたに告げ知らされたのであるが、これは、御使たちも、うかがい見たいと願っている事である。 
1Peter1:13 それだから、心の腰に帯を締め、身を慎み、イエス・キリストの現れる時に与えられる恵みを、いささかも疑わずに待ち望んでいなさい。 
1Peter1:14 従順な子供として、無知であった時代の欲情に従わず、 
1Peter1:15 むしろ、あなたがたを召して下さった聖なるかたにならって、あなたがた自身も、あらゆる行いにおいて聖なる者となりなさい。 
1Peter1:16 聖書に、「わたしが聖なる者であるから、あなたがたも聖なる者になるべきである」と書いてあるからである。 
1Peter1:17 あなたがたは、人をそれぞれのしわざに応じて、公平にさばくかたを、父と呼んでいるからには、地上に宿っている間を、おそれの心をもって過ごすべきである。 
1Peter1:18 あなたがたのよく知っているとおり、あなたがたが先祖伝来の空疎な生活からあがない出されたのは、銀や金のような朽ちる物によったのではなく、 
1Peter1:19 きずも、しみもない小羊のようなキリストの尊い血によったのである。 
1Peter1:20 キリストは、天地が造られる前から、あらかじめ知られていたのであるが、この終りの時に至って、あなたがたのために現れたのである。 
1Peter1:21 あなたがたは、このキリストによって、彼を死人の中からよみがえらせて、栄光をお与えになった神を信じる者となったのであり、したがって、あなたがたの信仰と望みとは、神にかかっているのである。 
1Peter1:22 あなたがたは、真理に従うことによって、たましいをきよめ、偽りのない兄弟愛をいだくに至ったのであるから、互に心から熱く愛し合いなさい。 
1Peter1:23 あなたがたが新たに生れたのは、朽ちる種からではなく、朽ちない種から、すなわち、神の変ることのない生ける御言によったのである。 
1Peter1:24 「人はみな草のごとく、その栄華はみな草の花に似ている。草は枯れ、花は散る。 
1Peter1:25 しかし、主の言葉は、とこしえに残る」。これが、あなたがたに宣べ伝えられた御言葉である。 
1Peter2:1 だから、あらゆる悪意、あらゆる偽り、偽善、そねみ、いっさいの悪口を捨てて、 
1Peter2:2 今生れたばかりの乳飲み子のように、混じりけのない霊の乳を慕い求めなさい。それによっておい育ち、救に入るようになるためである。 
1Peter2:3 あなたがたは、主が恵み深いかたであることを、すでに味わい知ったはずである。 
1Peter2:4 主は、人には捨てられたが、神にとっては選ばれた尊い生ける石である。 
1Peter2:5 この主のみもとにきて、あなたがたも、それぞれ生ける石となって、霊の家に築き上げられ、聖なる祭司となって、イエス・キリストにより、神によろこばれる霊のいけにえを、ささげなさい。 
1Peter2:6 聖書にこう書いてある、「見よ、わたしはシオンに、選ばれた尊い石、隅のかしら石を置く。それにより頼む者は、決して、失望に終ることがない」。 
1Peter2:7 この石は、より頼んでいるあなたがたには尊いものであるが、不信仰な人々には「家造りらの捨てた石で、隅のかしら石となったもの」、 
1Peter2:8 また「つまずきの石、妨げの岩」である。しかし、彼らがつまずくのは、御言に従わないからであって、彼らは、実は、そうなるように定められていたのである。 
1Peter2:9 しかし、あなたがたは、選ばれた種族、祭司の国、聖なる国民、神につける民である。それによって、暗やみから驚くべきみ光に招き入れて下さったかたのみわざを、あなたがたが語り伝えるためである。 
1Peter2:10 あなたがたは、以前は神の民でなかったが、いまは神の民であり、以前は、あわれみを受けたことのない者であったが、いまは、あわれみを受けた者となっている。 
1Peter2:11 愛する者たちよ。あなたがたに勧める。あなたがたは、この世の旅人であり寄留者であるから、たましいに戦いをいどむ肉の欲を避けなさい。 
1Peter2:12 異邦人の中にあって、りっぱな行いをしなさい。そうすれば、彼らは、あなたがたを悪人呼ばわりしていても、あなたがたのりっぱなわざを見て、かえって、おとずれの日に神をあがめるようになろう。 
1Peter2:13 あなたがたは、すべて人の立てた制度に、主のゆえに従いなさい。主権者としての王であろうと、 
1Peter2:14 あるいは、悪を行う者を罰し善を行う者を賞するために、王からつかわされた長官であろうと、これに従いなさい。 
1Peter2:15 善を行うことによって、愚かな人々の無知な発言を封じるのは、神の御旨なのである。 
1Peter2:16 自由人にふさわしく行動しなさい。ただし、自由をば悪を行う口実として用いず、神の僕にふさわしく行動しなさい。 
1Peter2:17 すべての人をうやまい、兄弟たちを愛し、神をおそれ、王を尊びなさい。 
1Peter2:18 僕たる者よ。心からのおそれをもって、主人に仕えなさい。善良で寛容な主人だけにでなく、気むずかしい主人にも、そうしなさい。 
1Peter2:19 もしだれかが、不当な苦しみを受けても、神を仰いでその苦痛を耐え忍ぶなら、それはよみせられることである。 
1Peter2:20 悪いことをして打ちたたかれ、それを忍んだとしても、なんの手柄になるのか。しかし善を行って苦しみを受け、しかもそれを耐え忍んでいるとすれば、これこそ神によみせられることである。 
1Peter2:21 あなたがたは、実に、そうするようにと召されたのである。キリストも、あなたがたのために苦しみを受け、御足の跡を踏み従うようにと、模範を残されたのである。 
1Peter2:22 キリストは罪を犯さず、その口には偽りがなかった。 
1Peter2:23 ののしられても、ののしりかえさず、苦しめられても、おびやかすことをせず、正しいさばきをするかたに、いっさいをゆだねておられた。 
1Peter2:24 さらに、わたしたちが罪に死に、義に生きるために、十字架にかかって、わたしたちの罪をご自分の身に負われた。その傷によって、あなたがたは、いやされたのである。 
1Peter2:25 あなたがたは、羊のようにさ迷っていたが、今は、たましいの牧者であり監督であるかたのもとに、たち帰ったのである。 
1Peter3:1 同じように、妻たる者よ。夫に仕えなさい。そうすれば、たとい御言に従わない夫であっても、 
1Peter3:2 あなたがたのうやうやしく清い行いを見て、その妻の無言の行いによって、救に入れられるようになるであろう。 
1Peter3:3 あなたがたは、髪を編み、金の飾りをつけ、服装をととのえるような外面の飾りではなく、 
1Peter3:4 かくれた内なる人、柔和で、しとやかな霊という朽ちることのない飾りを、身につけるべきである。これこそ、神のみまえに、きわめて尊いものである。 
1Peter3:5 むかし、神を仰ぎ望んでいた聖なる女たちも、このように身を飾って、その夫に仕えたのである。 
1Peter3:6 たとえば、サラはアブラハムに仕えて、彼を主と呼んだ。あなたがたも、何事にもおびえ臆することなく善を行えば、サラの娘たちとなるのである。 
1Peter3:7 夫たる者よ。あなたがたも同じように、女は自分よりも弱い器であることを認めて、知識に従って妻と共に住み、いのちの恵みを共どもに受け継ぐ者として、尊びなさい。それは、あなたがたの祈が妨げられないためである。 
1Peter3:8 最後に言う。あなたがたは皆、心をひとつにし、同情し合い、兄弟愛をもち、あわれみ深くあり、謙虚でありなさい。 
1Peter3:9 悪をもって悪に報いず、悪口をもって悪口に報いず、かえって、祝福をもって報いなさい。あなたがたが召されたのは、祝福を受け継ぐためなのである。 
1Peter3:10 「いのちを愛し、さいわいな日々を過ごそうと願う人は、舌を制して悪を言わず、くちびるを閉じて偽りを語らず、 
1Peter3:11 悪を避けて善を行い、平和を求めて、これを追え。 
1Peter3:12 主の目は義人たちに注がれ、主の耳は彼らの祈にかたむく。しかし主の御顔は、悪を行う者に対して向かう」。 
1Peter3:13 そこで、もしあなたがたが善に熱心であれば、だれが、あなたがたに危害を加えようか。 
1Peter3:14 しかし、万一義のために苦しむようなことがあっても、あなたがたはさいわいである。彼らを恐れたり、心を乱したりしてはならない。 
1Peter3:15 ただ、心の中でキリストを主とあがめなさい。また、あなたがたのうちにある望みについて説明を求める人には、いつでも弁明のできる用意をしていなさい。 
1Peter3:16 しかし、やさしく、慎み深く、明らかな良心をもって、弁明しなさい。そうすれば、あなたがたがキリストにあって営んでいる良い生活をそしる人々も、そのようにののしったことを恥じいるであろう。 
1Peter3:17 善をおこなって苦しむことは――それが神の御旨であれば――悪をおこなって苦しむよりも、まさっている。 
1Peter3:18 キリストも、あなたがたを神に近づけようとして、自らは義なるかたであるのに、不義なる人々のために、ひとたび罪のゆえに死なれた。ただし、肉においては殺されたが、霊においては生かされたのである。 
1Peter3:19 こうして、彼は獄に捕われている霊どものところに下って行き、宣べ伝えることをされた。 
1Peter3:20 これらの霊というのは、むかしノアの箱舟が造られていた間、神が寛容をもって待っておられたのに従わなかった者どものことである。その箱舟に乗り込み、水を経て救われたのは、わずかに八名だけであった。 
1Peter3:21 この水はバプテスマを象徴するものであって、今やあなたがたをも救うのである。それは、イエス・キリストの復活によるのであって、からだの汚れを除くことではなく、明らかな良心を神に願い求めることである。 
1Peter3:22 キリストは天に上って神の右に座し、天使たちともろもろの権威、権力を従えておられるのである。 
1Peter4:1 このように、キリストは肉において苦しまれたのであるから、あなたがたも同じ覚悟で心の武装をしなさい。肉において苦しんだ人は、それによって罪からのがれたのである。 
1Peter4:2 それは、肉における残りの生涯を、もはや人間の欲情によらず、神の御旨によって過ごすためである。 
1Peter4:3 過ぎ去った時代には、あなたがたは、異邦人の好みにまかせて、好色、欲情、酔酒、宴楽、暴飲、気ままな偶像礼拝などにふけってきたが、もうそれで十分であろう。 
1Peter4:4 今はあなたがたが、そうした度を過ごした乱行に加わらないので、彼らは驚きあやしみ、かつ、ののしっている。 
1Peter4:5 彼らは、やがて生ける者と死ねる者とをさばくかたに、申し開きをしなくてはならない。 
1Peter4:6 死人にさえ福音が宣べ伝えられたのは、彼らは肉においては人間としてさばきを受けるが、霊においては神に従って生きるようになるためである。 
1Peter4:7 万物の終りが近づいている。だから、心を確かにし、身を慎んで、努めて祈りなさい。 
1Peter4:8 何よりもまず、互の愛を熱く保ちなさい。愛は多くの罪をおおうものである。 
1Peter4:9 不平を言わずに、互にもてなし合いなさい。 
1Peter4:10 あなたがたは、それぞれ賜物をいただいているのだから、神のさまざまな恵みの良き管理人として、それをお互のために役立てるべきである。 
1Peter4:11 語る者は、神の御言を語る者にふさわしく語り、奉仕する者は、神から賜わる力による者にふさわしく奉仕すべきである。それは、すべてのことにおいてイエス・キリストによって、神があがめられるためである。栄光と力とが世々限りなく、彼にあるように、アァメン。 
1Peter4:12 愛する者たちよ。あなたがたを試みるために降りかかって来る火のような試錬を、何か思いがけないことが起ったかのように驚きあやしむことなく、 
1Peter4:13 むしろ、キリストの苦しみにあずかればあずかるほど、喜ぶがよい。それは、キリストの栄光が現れる際に、よろこびにあふれるためである。 
1Peter4:14 キリストの名のためにそしられるなら、あなたがたはさいわいである。その時には、栄光の霊、神の霊が、あなたがたに宿るからである。 
1Peter4:15 あなたがたのうち、だれも、人殺し、盗人、悪を行う者、あるいは、他人に干渉する者として苦しみに会うことのないようにしなさい。 
1Peter4:16 しかし、クリスチャンとして苦しみを受けるのであれば、恥じることはない。かえって、この名によって神をあがめなさい。 
1Peter4:17 さばきが神の家から始められる時がきた。それが、わたしたちからまず始められるとしたら、神の福音に従わない人々の行く末は、どんなであろうか。 
1Peter4:18 また義人でさえ、かろうじて救われるのだとすれば、不信なる者や罪人は、どうなるであろうか。 
1Peter4:19 だから、神の御旨に従って苦しみを受ける人々は、善をおこない、そして、真実であられる創造者に、自分のたましいをゆだねるがよい。 
1Peter5:1 そこで、あなたがたのうちの長老たちに勧める。わたしも、長老のひとりで、キリストの苦難についての証人であり、また、やがて現れようとする栄光にあずかる者である。 
1Peter5:2 あなたがたにゆだねられている神の羊の群れを牧しなさい。しいられてするのではなく、神に従って自ら進んでなし、恥ずべき利得のためではなく、本心から、それをしなさい。 
1Peter5:3 また、ゆだねられた者たちの上に権力をふるうことをしないで、むしろ、群れの模範となるべきである。 
1Peter5:4 そうすれば、大牧者が現れる時には、しぼむことのない栄光の冠を受けるであろう。 
1Peter5:5 同じように、若い人たちよ。長老たちに従いなさい。また、みな互に謙遜を身につけなさい。神は高ぶる者をしりぞけ、へりくだる者に恵みを賜うからである。 
1Peter5:6 だから、あなたがたは、神の力強い御手の下に、自らを低くしなさい。時が来れば神はあなたがたを高くして下さるであろう。 
1Peter5:7 神はあなたがたをかえりみていて下さるのであるから、自分の思いわずらいを、いっさい神にゆだねるがよい。 
1Peter5:8 身を慎み、目をさましていなさい。あなたがたの敵である悪魔が、ほえたけるししのように、食いつくすべきものを求めて歩き回っている。 
1Peter5:9 この悪魔にむかい、信仰にかたく立って、抵抗しなさい。あなたがたのよく知っているとおり、全世界にいるあなたがたの兄弟たちも、同じような苦しみの数々に会っているのである。 
1Peter5:10 あなたがたをキリストにある永遠の栄光に招き入れて下さったあふるる恵みの神は、しばらくの苦しみの後、あなたがたをいやし、強め、力づけ、不動のものとして下さるであろう。 
1Peter5:11 どうか、力が世々限りなく、神にあるように、アァメン。 
1Peter5:12 わたしは、忠実な兄弟として信頼しているシルワノの手によって、この短い手紙をあなたがたにおくり、勧めをし、また、これが神のまことの恵みであることをあかしした。この恵みのうちに、かたく立っていなさい。 
1Peter5:13 あなたがたと共に選ばれてバビロンにある教会、ならびに、わたしの子マルコから、あなたがたによろしく。 
1Peter5:14 愛の接吻をもって互にあいさつをかわしなさい。キリストにあるあなたがた一同に、平安があるように。 
2Peter1:1 イエス・キリストの僕また使徒であるシメオン・ペテロから、わたしたちの神と救主イエス・キリストとの義によって、わたしたちと同じ尊い信仰を授かった人々へ。 
2Peter1:2 神とわたしたちの主イエスとを知ることによって、恵みと平安とが、あなたがたに豊かに加わるように。 
2Peter1:3 いのちと信心とにかかわるすべてのことは、主イエスの神聖な力によって、わたしたちに与えられている。それは、ご自身の栄光と徳とによって、わたしたちを召されたかたを知る知識によるのである。 
2Peter1:4 また、それらのものによって、尊く、大いなる約束が、わたしたちに与えられている。それは、あなたがたが、世にある欲のために滅びることを免れ、神の性質にあずかる者となるためである。 
2Peter1:5 それだから、あなたがたは、力の限りをつくして、あなたがたの信仰に徳を加え、徳に知識を、 
2Peter1:6 知識に節制を、節制に忍耐を、忍耐に信心を、 
2Peter1:7 信心に兄弟愛を、兄弟愛に愛を加えなさい。 
2Peter1:8 これらのものがあなたがたに備わって、いよいよ豊かになるならば、わたしたちの主イエス・キリストを知る知識について、あなたがたは、怠る者、実を結ばない者となることはないであろう。 
2Peter1:9 これらのものを備えていない者は、盲人であり、近視の者であり、自分の以前の罪がきよめられたことを忘れている者である。 
2Peter1:10 兄弟たちよ。それだから、ますます励んで、あなたがたの受けた召しと選びとを、確かなものにしなさい。そうすれば、決してあやまちに陥ることはない。 
2Peter1:11 こうして、わたしたちの主また救主イエス・キリストの永遠の国に入る恵みが、あなたがたに豊かに与えられるからである。 
2Peter1:12 それだから、あなたがたは既にこれらのことを知っており、また、いま持っている真理に堅く立ってはいるが、わたしは、これらのことをいつも、あなたがたに思い起させたいのである。 
2Peter1:13 わたしがこの幕屋にいる間、あなたがたに思い起させて、奮い立たせることが適当と思う。 
2Peter1:14 それは、わたしたちの主イエス・キリストもわたしに示して下さったように、わたしのこの幕屋を脱ぎ去る時が間近であることを知っているからである。 
2Peter1:15 わたしが世を去った後にも、これらのことを、あなたがたにいつも思い出させるように努めよう。 
2Peter1:16 わたしたちの主イエス・キリストの力と来臨とを、あなたがたに知らせた時、わたしたちは、巧みな作り話を用いることはしなかった。わたしたちが、そのご威光の目撃者なのだからである。 
2Peter1:17 イエスは父なる神からほまれと栄光とをお受けになったが、その時、おごそかな栄光の中から次のようなみ声がかかったのである、「これはわたしの愛する子、わたしの心にかなう者である」。 
2Peter1:18 わたしたちもイエスと共に聖なる山にいて、天から出たこの声を聞いたのである。 
2Peter1:19 こうして、預言の言葉は、わたしたちにいっそう確実なものになった。あなたがたも、夜が明け、明星がのぼって、あなたがたの心の中を照すまで、この預言の言葉を暗やみに輝くともしびとして、それに目をとめているがよい。 
2Peter1:20 聖書の預言はすべて、自分勝手に解釈すべきでないことを、まず第一に知るべきである。 
2Peter1:21 なぜなら、預言は決して人間の意志から出たものではなく、人々が聖霊に感じ、神によって語ったものだからである。 
2Peter2:1 しかし、民の間に、にせ預言者が起ったことがあるが、それと同じく、あなたがたの間にも、にせ教師が現れるであろう。彼らは、滅びに至らせる異端をひそかに持ち込み、自分たちをあがなって下さった主を否定して、すみやかな滅亡を自分の身に招いている。 
2Peter2:2 また、大ぜいの人が彼らの放縦を見習い、そのために、真理の道がそしりを受けるに至るのである。 
2Peter2:3 彼らは、貪欲のために、甘言をもってあなたがたをあざむき、利をむさぼるであろう。彼らに対するさばきは昔から猶予なく行われ、彼らの滅亡も滞ることはない。 
2Peter2:4 神は、罪を犯した御使たちを許しておかないで、彼らを下界におとしいれ、さばきの時まで暗やみの穴に閉じ込めておかれた。 
2Peter2:5 また、古い世界をそのままにしておかないで、その不信仰な世界に洪水をきたらせ、ただ、義の宣伝者ノアたち八人の者だけを保護された。 
2Peter2:6 また、ソドムとゴモラの町々を灰に帰せしめて破滅に処し、不信仰に走ろうとする人々の見せしめとし、 
2Peter2:7 ただ、非道の者どもの放縦な行いによってなやまされていた義人ロトだけを救い出された。 
2Peter2:8 （この義人は、彼らの間に住み、彼らの不法の行いを日々見聞きして、その正しい心を痛めていたのである。） 
2Peter2:9 こういうわけで、主は、信心深い者を試錬の中から救い出し、また、不義な者ども、 
2Peter2:10 特に、汚れた情欲におぼれ肉にしたがって歩み、また、権威ある者を軽んじる人々を罰して、さばきの日まで閉じ込めておくべきことを、よくご存じなのである。こういう人々は、大胆不敵なわがまま者であって、栄光ある者たちをそしってはばかるところがない。 
2Peter2:11 しかし、御使たちは、勢いにおいても力においても、彼らにまさっているにかかわらず、彼らを主のみまえに訴えそしることはしない。 
2Peter2:12 これらの者は、捕えられ、ほふられるために生れてきた、分別のない動物のようなもので、自分が知りもしないことをそしり、その不義の報いとして罰を受け、必ず滅ぼされてしまうのである。 
2Peter2:13 彼らは、真昼でさえ酒食を楽しみ、あなたがたと宴会に同席して、だましごとにふけっている。彼らは、しみであり、きずである。 
2Peter2:14 その目は淫行を追い、罪を犯して飽くことを知らない。彼らは心の定まらない者を誘惑し、その心は貪欲に慣れ、のろいの子となっている。 
2Peter2:15 彼らは正しい道からはずれて迷いに陥り、ベオルの子バラムの道に従った。バラムは不義の実を愛し、 
2Peter2:16 そのために、自分のあやまちに対するとがめを受けた。ものを言わないろばが、人間の声でものを言い、この預言者の狂気じみたふるまいをはばんだのである。 
2Peter2:17 この人々は、いわば、水のない井戸、突風に吹きはらわれる霧であって、彼らには暗やみが用意されている。 
2Peter2:18 彼らはむなしい誇を語り、迷いの中に生きている人々の間から、かろうじてのがれてきた者たちを、肉欲と色情とによって誘惑し、 
2Peter2:19 この人々に自由を与えると約束しながら、彼ら自身は滅亡の奴隷になっている。おおよそ、人は征服者の奴隷となるものである。 
2Peter2:20 彼らが、主また救主なるイエス・キリストを知ることにより、この世の汚れからのがれた後、またそれに巻き込まれて征服されるならば、彼らの後の状態は初めよりも、もっと悪くなる。 
2Peter2:21 義の道を心得ていながら、自分に授けられた聖なる戒めにそむくよりは、むしろ義の道を知らなかった方がよい。 
2Peter2:22 ことわざに、「犬は自分の吐いた物に帰り、豚は洗われても、また、どろの中にころがって行く」とあるが、彼らの身に起ったことは、そのとおりである。 
2Peter3:1 愛する者たちよ。わたしは今この第二の手紙をあなたがたに書きおくり、これらの手紙によって記憶を呼び起し、あなたがたの純真な心を奮い立たせようとした。 
2Peter3:2 それは、聖なる預言者たちがあらかじめ語った言葉と、あなたがたの使徒たちが伝えた主なる救主の戒めとを、思い出させるためである。 
2Peter3:3 まず次のことを知るべきである。終りの時にあざける者たちが、あざけりながら出てきて、自分の欲情のままに生活し、 
2Peter3:4 「主の来臨の約束はどうなったのか。先祖たちが眠りについてから、すべてのものは天地創造の初めからそのままであって、変ってはいない」と言うであろう。 
2Peter3:5 すなわち、彼らはこのことを認めようとはしない。古い昔に天が存在し、地は神の言によって、水がもとになり、また、水によって成ったのであるが、 
2Peter3:6 その時の世界は、御言により水でおおわれて滅んでしまった。 
2Peter3:7 しかし、今の天と地とは、同じ御言によって保存され、不信仰な人々がさばかれ、滅ぼさるべき日に火で焼かれる時まで、そのまま保たれているのである。 
2Peter3:8 愛する者たちよ。この一事を忘れてはならない。主にあっては、一日は千年のようであり、千年は一日のようである。 
2Peter3:9 ある人々がおそいと思っているように、主は約束の実行をおそくしておられるのではない。ただ、ひとりも滅びることがなく、すべての者が悔改めに至ることを望み、あなたがたに対してながく忍耐しておられるのである。 
2Peter3:10 しかし、主の日は盗人のように襲って来る。その日には、天は大音響をたてて消え去り、天体は焼けてくずれ、地とその上に造り出されたものも、みな焼きつくされるであろう。 
2Peter3:11 このように、これらはみなくずれ落ちていくものであるから、神の日の到来を熱心に待ち望んでいるあなたがたは、 
2Peter3:12 極力、きよく信心深い行いをしていなければならない。その日には、天は燃えくずれ、天体は焼けうせてしまう。 
2Peter3:13 しかし、わたしたちは、神の約束に従って、義の住む新しい天と新しい地とを待ち望んでいる。 
2Peter3:14 愛する者たちよ。それだから、この日を待っているあなたがたは、しみもなくきずもなく、安らかな心で、神のみまえに出られるように励みなさい。 
2Peter3:15 また、わたしたちの主の寛容は救のためであると思いなさい。このことは、わたしたちの愛する兄弟パウロが、彼に与えられた知恵によって、あなたがたに書きおくったとおりである。 
2Peter3:16 彼は、どの手紙にもこれらのことを述べている。その手紙の中には、ところどころ、わかりにくい箇所もあって、無学で心の定まらない者たちは、ほかの聖書についてもしているように、無理な解釈をほどこして、自分の滅亡を招いている。 
2Peter3:17 愛する者たちよ。それだから、あなたがたはかねてから心がけているように、非道の者の惑わしに誘い込まれて、あなたがた自身の確信を失うことのないように心がけなさい。 
2Peter3:18 そして、わたしたちの主また救主イエス・キリストの恵みと知識とにおいて、ますます豊かになりなさい。栄光が、今も、また永遠の日に至るまでも、主にあるように、アァメン。 
1John1:1 初めからあったもの、わたしたちが聞いたもの、目で見たもの、よく見て手でさわったもの、すなわち、いのちの言について―― 
